Player,Position,Age,Goals,Assists,Minutes,Matches,G+A per 90
Kylian Mbappé,FW,27,25,5,2950,33,0.92
Vinícius Júnior,FW,25,16,8,2500,30,0.86
Jude Bellingham,MF,23,6,5,1950,24,0.51
Gonzalo García,FW,21,6,2,1400,20,0.51
Federico Valverde,MF,27,5,9,3200,37,0.39
Arda Güler,MF,21,4,9,2200,29,0.53
Álvaro Carreras,DF,24,2,4,2600,32,0.21
Dean Huijsen,DF,21,2,1,2850,34,0.09
Éder Militão,DF,27,2,0,2400,30,0.07
Raúl Asencio,DF,22,2,1,2050,27,0.13
Antonio Rüdiger,DF,33,1,1,2900,35,0.06
Aurélien Tchouaméni,MF,26,1,2,2750,33,0.10
Brahim Díaz,MF,26,1,3,1500,22,0.24
Eduardo Camavinga,MF,23,1,2,2100,28,0.13
Fran García,DF,25,1,3,1900,26,0.19
Franco Mastantuono,FW,18,1,2,1300,19,0.21
Rodrygo,FW,25,1,2,1100,17,0.25
